episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.00,0.00
54,0.00,0.00
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.00,0.00
59,0.00,0.00
60,0.00,0.00
61,0.00,0.00
62,0.00,0.00
63,0.00,0.00
64,0.00,0.00
65,0.00,0.00
66,0.00,0.00
67,0.00,0.00
68,0.00,0.00
69,0.00,0.00
70,0.00,0.00
71,0.00,0.00
72,0.00,0.00
73,0.00,0.00
74,0.00,0.00
75,0.00,0.00
76,0.00,0.00
77,0.00,0.00
78,0.00,0.00
79,0.00,0.00
80,0.00,0.00
81,0.00,0.00
82,0.00,0.00
83,0.00,0.00
84,0.00,0.00
85,0.00,0.00
86,0.00,0.00
87,0.00,0.00
88,0.00,0.00
89,0.00,0.00
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100,0.00,0.00
101,0.00,0.00
102,0.00,0.00
103,0.00,0.00
104,0.00,0.00
105,0.00,0.00
106,0.00,0.00
107,0.00,0.00
108,0.00,0.00
109,0.00,0.00
110,0.00,0.00
111,0.00,0.00
112,0.00,0.00
113,0.00,0.00
114,0.00,0.00
115,0.00,0.00
116,0.00,0.00
117,0.00,0.00
118,0.00,0.00
119,0.00,0.00
120,0.00,0.00
121,0.00,0.00
122,0.00,0.00
123,0.00,0.00
124,0.00,0.00
125,0.00,0.00
126,0.00,0.00
127,0.00,0.00
128,0.00,0.00
129,0.00,0.00
130,0.00,0.00
131,0.00,0.00
132,0.00,0.00
133,0.00,0.00
134,0.00,0.00
135,0.00,0.00
136,0.00,0.00
137,0.00,0.00
138,0.00,0.00
139,0.00,0.00
140,0.00,0.00
141,0.00,0.00
142,0.00,0.00
143,0.00,0.00
144,0.00,0.00
145,0.00,0.00
146,0.00,0.00
147,0.00,0.00
148,0.00,0.00
149,0.00,0.00
150,0.00,0.00
151,0.00,0.00
152,0.00,0.00
153,0.00,0.00
154,0.00,0.00
155,0.00,0.00
156,0.00,0.00
157,0.00,0.00
158,0.00,0.00
159,0.00,0.00
160,0.00,0.00
161,0.00,0.00
162,0.00,0.00
163,0.00,0.00
164,0.00,0.00
165,0.00,0.00
166,0.00,0.00
167,0.00,0.00
168,0.00,0.00
169,0.00,0.00
170,0.00,0.00
171,0.00,0.00
172,0.00,0.00
173,0.00,0.00
174,0.00,0.00
175,0.00,0.00
176,0.00,0.00
177,0.00,0.00
178,0.00,0.00
179,0.00,0.00
180,0.00,0.00
181,0.00,0.00
182,0.00,0.00
183,0.00,0.00
184,0.00,0.00
185,0.00,0.00
186,0.00,0.00
187,0.00,0.00
188,0.00,0.00
189,0.00,0.00
190,0.00,0.00
191,0.00,0.00
192,0.00,0.00
193,0.00,0.00
194,0.00,0.00
195,0.00,0.00
196,0.00,0.00
197,0.00,0.00
198,0.00,0.00
199,0.00,0.00
200,0.00,0.00
201,0.00,0.00
202,0.00,0.00
203,0.00,0.00
204,30.00,1.50
205,0.00,1.42
206,0.00,1.35
207,0.00,1.29
208,0.00,1.22
209,0.00,1.16
210,0.00,1.10
211,0.00,1.05
212,0.00,1.00
213,0.00,0.95
214,0.00,0.90
215,0.00,0.85
216,0.00,0.81
217,0.00,0.77
218,0.00,0.73
219,0.00,0.69
220,0.00,0.66
221,0.00,0.63
222,0.00,0.60
223,0.00,0.57
224,0.00,0.54
225,0.00,0.51
226,0.00,0.49
227,0.00,0.46
228,0.00,0.44
229,0.00,0.42
230,0.00,0.40
231,0.00,0.38
232,0.00,0.36
233,0.00,0.34
234,0.00,0.32
235,0.00,0.31
236,0.00,0.29
237,0.00,0.28
238,0.00,0.26
239,0.00,0.25
240,0.00,0.24
241,0.00,0.22
242,0.00,0.21
243,0.00,0.20
244,0.00,0.19
245,0.00,0.18
246,0.00,0.17
